,poi_type,lat_long,poi_lat,poi_long,sder_postal_code,sder_city,sder_state,place_name,no_thefts
21799,point_of_interest,"(45.5118419, -122.644544)",45.5118419,-122.644544,97214.0,Portland,Oregon,Santa Barbara Apartments,263.0
7627,establishment],"(45.5313635, -122.68480859999998)",45.5313635,-122.6848086,97209.0,Portland,Oregon,Bridgeport Brewing Company,252.0
18451,park,"(45.515462, -122.64669009999999)",45.515462,-122.6466901,97214.0,Portland,Oregon,Colonel Summers Park,199.0
7624,establishment],"(45.5284781, -122.6806945)",45.5284781,-122.6806945,97209.0,Portland,Oregon,Ecotrust,196.0
17600,neighborhood,"(45.5134542, -122.68013429999999)",45.5134542,-122.6801343,97201.0,Portland,Oregon,Downtown,134.0
8447,food,"(45.5891665, -122.6933564)",45.5891665,-122.6933564,97217.0,Portland,Oregon,Ferguson,129.0
17630,neighborhood,"(45.5908734, -122.69316979999999)",45.5908734,-122.6931698,97217.0,Portland,Oregon,Kenton,128.0
18461,park,"(45.525415, -122.67327399999999)",45.525415,-122.673274,97209.0,Portland,Oregon,Lan Su Chinese Garden,121.0
2483,bar,"(45.5227424, -122.67584599999999)",45.5227424,-122.675846,97209.0,Portland,Oregon,Portland City Grill,118.0
2478,bar,"(45.5224049, -122.6724614)",45.5224049,-122.6724614,97209.0,Portland,Oregon,Dan & Louis Oyster Bar,116.0
30619,store,"(45.5226206, -122.67311049999999)",45.5226206,-122.6731105,97209.0,Portland,Oregon,Voodoo Doughnut,116.0
31638,university,"(45.511289399999995, -122.6835567)",45.5112894,-122.6835567,97201.0,Portland,Oregon,Portland State University,114.0
30591,store,"(45.5168831, -122.6013335)",45.5168831,-122.6013335,97215.0,Portland,Oregon,Cheese Bar,114.0
10926,health,"(45.516327000000004, -122.60151699999999)",45.516327,-122.601517,97215.0,Portland,Oregon,Marquis Mt. Tabor,113.0
22768,real_estate_agency,"(45.516914899999996, -122.6022277)",45.5169149,-122.6022277,97215.0,Portland,Oregon,Bender Properties,112.0
30672,store,"(45.5760865, -122.6435726)",45.5760865,-122.6435726,97211.0,Portland,Oregon,Les Schwab Tire Center,105.0
17609,neighborhood,"(45.5320309, -122.6426845)",45.5320309,-122.6426845,97232.0,Portland,Oregon,Sullivan's Gulch,104.0
4135,car_repair,"(45.5754778, -122.6408706)",45.5754778,-122.6408706,97211.0,Portland,Oregon,Volvo's Only,104.0
21872,point_of_interest,"(45.576033, -122.642775)",45.576033,-122.642775,97211.0,Portland,Oregon,Rigging Products Inc,103.0
3831,car_dealer,"(45.5764226, -122.6416777)",45.5764226,-122.6416777,97211.0,Portland,Oregon,McCoy Freightliner Sprinter,103.0
27870,school,"(45.512667, -122.68146200000001)",45.512667,-122.681462,97201.0,Portland,Oregon,St. Mary's Academy,102.0
12421,library,"(45.4676619, -122.65267709999999)",45.4676619,-122.6526771,97202.0,Portland,Oregon,Multnomah County Library - Sellwood-Moreland,99.0
30824,store,"(47.6246607, -122.32548059999999)",47.6246607,-122.3254806,98102.0,Seattle,Washington,Top Pot Doughnuts,98.0
200,art_gallery,"(37.7592728, -122.4114858)",37.7592728,-122.4114858,94110.0,San Francisco,California,Southern Exposure Gallery,96.0
17838,night_club,"(37.7710559, -122.4126746)",37.7710559,-122.4126746,94103.0,San Francisco,California,DNA Lounge,94.0
18454,park,"(45.519135999999996, -122.7067804)",45.519136,-122.7067804,97205.0,Portland,Oregon,Portland Japanese Garden,92.0
18453,park,"(45.51895089999999, -122.7052726)",45.5189509,-122.7052726,97205.0,Portland,Oregon,International Rose Test Garden,92.0
9912,grocery_or_supermarket,"(45.534686, -122.620806)",45.534686,-122.620806,97213.0,Portland,Oregon,Trader Joe's,90.0
17614,neighborhood,"(45.5344799, -122.6185993)",45.5344799,-122.6185993,97213.0,Portland,Oregon,Hollywood,90.0
16384,movie_theater,"(45.5354144, -122.6206284)",45.5354144,-122.6206284,97213.0,Portland,Oregon,Hollywood Theatre,90.0
10275,gym,"(45.533303000000004, -122.6200094)",45.533303,-122.6200094,97213.0,Portland,Oregon,24 Hour Fitness,88.0
3656,cafe,"(45.5200789, -122.67475719999999)",45.5200789,-122.6747572,97204.0,Portland,Oregon,Huber’s Cafe,88.0
17983,night_club,"(45.5593018, -122.65441609999999)",45.5593018,-122.6544161,97211.0,Portland,Oregon,Radio Room,87.0
9917,grocery_or_supermarket,"(45.536881, -122.61868600000001)",45.536881,-122.618686,97213.0,Portland,Oregon,Whole Foods Market,86.0
17208,neighborhood,"(37.759864799999995, -122.4147977)",37.7598648,-122.4147977,94110.0,San Francisco,California,Mission District,84.0
28440,shopping_mall,"(45.532413, -122.65330900000001)",45.532413,-122.653309,97232.0,Portland,Oregon,Lloyd Center,84.0
15449,lodging,"(45.521699600000005, -122.6786693)",45.5216996,-122.6786693,97209.0,Portland,Oregon,The Benson,83.0
16205,movie_theater,"(37.7646195, -122.4224245)",37.7646195,-122.4224245,94103.0,San Francisco,California,Roxie Theater,82.0
