,poi_type,sder_postal_code,sder_city,sder_state,place_name,year,no_thefts
27952,neighborhood,94703.0,Berkeley,California,North Berkeley,1970,1.0
40304,restaurant,17602.0,Lancaster,Pennsylvania,Aussie And The Fox,1971,1.0
3344,bar,17602.0,Lancaster,Pennsylvania,Carr's Restaurant,1971,1.0
3343,bar,17602.0,Lancaster,Pennsylvania,Annie Bailey's Irish Pub & Restaurant,1971,1.0
7939,church,17602.0,Lancaster,Pennsylvania,Holy Trinity Lutheran Church,1971,1.0
9516,courthouse,17602.0,Lancaster,Pennsylvania,Lancaster County Courthouse,1971,1.0
20707,locality,17602.0,Lancaster,Pennsylvania,Lancaster,1971,1.0
26893,museum,17602.0,Lancaster,Pennsylvania,The Demuth Museum,1971,1.0
13144,food,17602.0,Lancaster,Pennsylvania,Lancaster Central Market,1971,1.0
34085,point_of_interest,17602.0,Lancaster,Pennsylvania,Fulton Opera House,1971,1.0
23607,lodging,17602.0,Lancaster,Pennsylvania,Lancaster Marriott at Penn Square,1971,1.0
51291,university,61820.0,Champaign,Illinois,Illini Union,1985,1.0
34115,point_of_interest,61820.0,Champaign,Illinois,Alma Mater,1985,1.0
5716,book_store,61820.0,Champaign,Illinois,Illini Union Bookstore,1985,1.0
27543,neighborhood,85032.0,Phoenix,Arizona,Paradise Valley Oasis,1986,1.0
42883,school,85032.0,Phoenix,Arizona,Indian Bend,1986,1.0
44987,school,55418.0,Minneapolis,Minnesota,Edison High School,1994,1.0
46644,stadium,2215.0,Boston,Massachusetts,Fenway Park,1994,1.0
5756,book_store,2215.0,Boston,Massachusetts,Berklee College of Music,1994,1.0
44720,school,2215.0,Boston,Massachusetts,Boston Arts Academy,1994,1.0
7924,church,46268.0,Indianapolis,Indiana,College Park Church,1994,1.0
4075,bar,55418.0,Minneapolis,Minnesota,Sen Yai Sen Lek Thai,1994,1.0
28386,neighborhood,2215.0,Boston,Massachusetts,Back Bay West,1994,1.0
12688,florist,15670.0,New Alexandria,Pennsylvania,Flowers TLC Crabtree Gifts,1998,1.0
43247,school,95123.0,San Jose,California,Phoenix High School,1998,1.0
11795,establishment],95811.0,Sacramento,California,Loaves & Fishes,1998,1.0
20725,locality,15670.0,New Alexandria,Pennsylvania,Crabtree,1998,1.0
6610,car_dealer,37138.0,Nashville,Tennessee,Cars & More,1998,1.0
25861,movie_theater,94103.0,San Francisco,California,Roxie Theater,1998,1.0
43250,school,95123.0,San Jose,California,Santa Teresa High School,1998,1.0
42444,school,33140.0,Miami Beach,Florida,Nautilus Middle School,1998,1.0
38793,restaurant,95123.0,San Jose,California,Subway,1998,1.0
16928,health,15670.0,New Alexandria,Pennsylvania,Crabtree Barbershop,1998,1.0
27686,neighborhood,37138.0,Nashville,Tennessee,Lakewood,1998,1.0
42457,school,33404.0,Riviera Beach,Florida,Inlet Grove Community High School,1998,1.0
523,atm,15670.0,New Alexandria,Pennsylvania,Access to Money,1998,1.0
34716,point_of_interest,1060.0,Northampton,Massachusetts,Smith College,1998,1.0
38790,restaurant,95123.0,San Jose,California,Casa Teresa,1998,1.0
25187,meal_takeaway,85204.0,Mesa,Arizona,CiCi's Pizza,1998,1.0
18100,hospital,19104.0,Philadelphia,Pennsylvania,Penn Presbyterian Medical Center,1998,1.0
47369,store,85204.0,Mesa,Arizona,"Guy T. Mcdougal, OD",1998,1.0
32928,point_of_interest,94103.0,San Francisco,California,Victoria Theatre,1998,1.0
36263,police,33404.0,Riviera Beach,Florida,Riviera Beach Police Department,1998,1.0
32940,point_of_interest,94103.0,San Francisco,California,The Lab,1998,1.0
28230,neighborhood,11231.0,New York,New York,Governors Island,1998,2.0
30196,park,1060.0,Northampton,Massachusetts,The Botanic Garden of Smith College,1998,1.0
44263,school,19124.0,Philadelphia,Pennsylvania,Holy Innocents School,1998,1.0
524,atm,15670.0,New Alexandria,Pennsylvania,ATM (Crabtree Gas & Go),1998,1.0
40369,restaurant,15670.0,New Alexandria,Pennsylvania,Rizzo's Malabar Inn,1998,1.0
44261,school,19124.0,Philadelphia,Pennsylvania,Hopkinson School,1998,1.0
36505,post_office,15670.0,New Alexandria,Pennsylvania,US Post Office,1998,1.0
983,bakery,97401.0,Eugene,Oregon,Daily Bagel,1998,1.0
9703,dentist,95123.0,San Jose,California,Best Choice Dental,1998,1.0
248,art_gallery,85719.0,Tucson,Arizona,Center for Creative Photography,1998,1.0
10043,department_store,85204.0,Mesa,Arizona,Target,1998,1.0
3376,bar,15670.0,New Alexandria,Pennsylvania,Carbone's Restaurant,1998,1.0
47860,store,95123.0,San Jose,California,Artistic Silk Screen,1998,1.0
8473,city_hall,33404.0,Riviera Beach,Florida,Riviera Beach City Hall,1998,1.0
47857,store,95123.0,San Jose,California,Music Village,1998,1.0
46109,shopping_mall,95123.0,San Jose,California,Santa Teresa Square Shopping Center,1998,1.0
32760,point_of_interest,95123.0,San Jose,California,South Bay Dance Center,1998,1.0
26495,museum,85719.0,Tucson,Arizona,Arizona State Museum,1998,1.0
44394,school,11231.0,New York,New York,New York Harbor School,1998,2.0
33227,point_of_interest,94720.0,Berkeley,California,The Greek Theatre,1998,1.0
12252,finance,33173.0,Miami,Florida,ADP,1998,1.0
33955,point_of_interest,19102.0,Philadelphia,Pennsylvania,Academy of Music,1998,1.0
1627,bar,77380.0,Spring,Texas,Jasper's,1998,1.0
1628,bar,77380.0,Spring,Texas,Grotto Ristorante,1998,1.0
34144,point_of_interest,15670.0,New Alexandria,Pennsylvania,Tri-Jay's Reupholstery Furniture,1998,1.0
