,id,stolen_localDate,timezone,date,year,month,day_night,season,manufacturer_name,sder_postal_code,sder_city,sder_state,locking_description,latitude,longitude
0,11542,2013-06-09 23:00:00,America/Los_Angeles,2013-06-09,2013,06,Night,Summer,Trek,95126,San Jose,California,,37.3290122,-121.9160211
1,13359,2010-07-10 02:00:00,America/New_York,2010-07-10,2010,07,Night,Summer,Schwinn,44870,Sandusky,Ohio,,41.4403562,-82.7681138
2,11540,2013-08-19 23:00:00,America/Los_Angeles,2013-08-19,2013,08,Night,Summer,Motobecane,97202,Portland,Oregon,,45.4893598,-122.6521394
3,11541,2009-08-28 23:00:00,America/Los_Angeles,2009-08-28,2009,08,Night,Summer,Trek,94703,Berkeley,California,,37.8762923,-122.2738958
4,11546,2009-09-07 02:00:00,America/New_York,2009-09-07,2009,09,Night,Fall,Trek,20037,Washington,District of Columbia,,38.9042365,-77.0521289
5,11547,2009-09-15 23:00:00,America/Los_Angeles,2009-09-15,2009,09,Night,Fall,Peugeot,97202,Portland,Oregon,,45.4807521,-122.6427372
6,11544,2013-10-20 23:00:00,America/Los_Angeles,2013-10-20,2013,10,Night,Fall,Marin Bikes,97216,Portland,Oregon,,45.5195155,-122.5790559
7,13358,2010-04-20 02:00:00,America/New_York,2010-04-20,2010,04,Night,Spring,Gary Fisher,11215,,New York,,40.6681038,-73.9805817
8,11548,2010-11-21 22:00:00,America/Los_Angeles,2010-11-21,2010,11,Night,Fall,Fuji,97201,Portland,Oregon,,45.51233,-122.6842093
9,5989,2013-12-27 22:00:00,America/Los_Angeles,2013-12-27,2013,12,Night,Winter,Cannondale,95823,Sacramento,California,,38.4743211,-121.4409058
10,19399,2010-07-21 23:00:00,America/Los_Angeles,2010-07-21,2010,07,Night,Summer,Specialized,94102,San Francisco,California,,37.7764511108,-122.426177979
11,19398,2010-07-21 00:00:00,America/Denver,2010-07-21,2010,07,Night,Summer,Trek,80234,Westminster,Colorado,,39.9184989929,-104.990318298
12,19397,2010-07-19 23:00:00,America/Los_Angeles,2010-07-19,2010,07,Night,Summer,Bianchi,97202,Portland,Oregon,,45.503528595,-122.637626648
13,5983,2013-11-24 22:00:00,America/Los_Angeles,2013-11-24,2013,11,Night,Fall,Raleigh,97218,Portland,Oregon,,45.5581112,-122.6206237
14,5980,2014-06-10 23:00:00,America/Los_Angeles,2014-06-10,2014,06,Night,Summer,Huffy,97205,Portland,Oregon,,45.5205043,-122.707349
15,19394,2010-08-01 23:00:00,America/Los_Angeles,2010-08-01,2010,08,Night,Summer,KHS Bicycles,97213,Portland,Oregon,,45.5344799,-122.6185993
16,5986,2014-06-10 02:00:00,America/New_York,2014-06-10,2014,06,Night,Summer,Felt,10023,New York,New York,,40.7769059,-73.9800645
17,19392,2010-07-20 02:00:00,America/Detroit,2010-07-20,2010,07,Night,Summer,Schwinn,48823,East Lansing,Michigan,,42.7396202087,-84.4891433716
18,5984,2014-06-01 02:00:00,America/New_York,2014-06-01,2014,06,Night,Summer,Cannondale,20003,Washington,District of Columbia,,38.8831372,-76.9902276
20,11543,2009-08-31 23:00:00,America/Los_Angeles,2009-08-31,2009,08,Night,Summer,Unknown,95110,San Jose,California,,37.3350932,-121.8928807
21,11545,2009-09-12 01:00:00,America/Chicago,2009-09-12,2009,09,Night,Fall,Giant,61801,Urbana,Illinois,,40.1090583801,-88.2193832397
22,19973,2012-12-03 00:00:00,America/Chicago,2012-12-03,2012,12,Night,Winter,Specialized,68506,Lincoln,Nebraska,,40.7832603455,-96.6413803101
23,19972,2011-01-27 01:00:00,America/New_York,2011-01-27,2011,01,Night,Winter,Giant,33311,Fort Lauderdale,Florida,,26.143819809,-80.1733932495
