hour,day,thefts
0,0,193
1,0,520
2,0,587
3,0,1
4,0,1
5,0,1
6,0,2
7,0,0
8,0,2
9,0,7
10,0,9
11,0,7
12,0,10
13,0,13
14,0,9
15,0,13
16,0,7
17,0,12
18,0,8
19,0,7
20,0,10
21,0,8
22,0,628
23,0,1840
0,1,252
1,1,469
2,1,598
3,1,0
4,1,4
5,1,2
6,1,0
7,1,2
8,1,7
9,1,7
10,1,10
11,1,13
12,1,15
13,1,9
14,1,8
15,1,4
16,1,13
17,1,11
18,1,15
19,1,7
20,1,9
21,1,17
22,1,676
23,1,1773
0,2,243
1,2,451
2,2,570
3,2,0
4,2,2
5,2,0
6,2,0
7,2,0
8,2,3
9,2,6
10,2,14
11,2,8
12,2,19
13,2,12
14,2,8
15,2,3
16,2,9
17,2,7
18,2,8
19,2,10
20,2,11
21,2,11
22,2,552
23,2,1767
0,3,232
1,3,450
2,3,574
3,3,0
4,3,2
5,3,0
6,3,2
7,3,6
8,3,6
9,3,12
10,3,15
11,3,9
12,3,12
13,3,13
14,3,9
15,3,7
16,3,10
17,3,7
18,3,15
19,3,4
20,3,8
21,3,13
22,3,569
23,3,1905
0,4,239
1,4,432
2,4,592
3,4,2
4,4,2
5,4,0
6,4,5
7,4,3
8,4,2
9,4,7
10,4,15
11,4,9
12,4,7
13,4,8
14,4,10
15,4,5
16,4,14
17,4,6
18,4,6
19,4,5
20,4,14
21,4,9
22,4,553
23,4,1894
0,5,225
1,5,490
2,5,605
3,5,2
4,5,0
5,5,0
6,5,3
7,5,0
8,5,6
9,5,7
10,5,12
11,5,7
12,5,8
13,5,9
14,5,4
15,5,7
16,5,10
17,5,6
18,5,10
19,5,7
20,5,12
21,5,9
22,5,596
23,5,1955
0,6,211
1,6,486
2,6,716
3,6,0
4,6,0
5,6,4
6,6,3
7,6,3
8,6,10
9,6,9
10,6,11
11,6,12
12,6,13
13,6,9
14,6,19
15,6,15
16,6,6
17,6,11
18,6,6
19,6,2
20,6,11
21,6,3
22,6,578
23,6,1806
