date,thefts
Jan 2005,19
Feb 2005,8
Mar 2005,13
Apr 2005,19
May 2005,20
Jun 2005,26
Jul 2005,24
Aug 2005,40
Sep 2005,43
Oct 2005,56
Nov 2005,32
Dec 2005,22
Jan 2006,48
Feb 2006,9
Mar 2006,26
Apr 2006,37
May 2006,49
Jun 2006,41
Jul 2006,32
Aug 2006,62
Sep 2006,42
Oct 2006,51
Nov 2006,40
Dec 2006,25
Jan 2007,71
Feb 2007,28
Mar 2007,40
Apr 2007,40
May 2007,46
Jun 2007,42
Jul 2007,36
Aug 2007,82
Sep 2007,78
Oct 2007,53
Nov 2007,44
Dec 2007,50
Jan 2008,81
Feb 2008,44
Mar 2008,61
Apr 2008,67
May 2008,88
Jun 2008,130
Jul 2008,100
Aug 2008,127
Sep 2008,111
Oct 2008,109
Nov 2008,76
Dec 2008,62
Jan 2009,97
Feb 2009,32
Mar 2009,76
Apr 2009,98
May 2009,129
Jun 2009,217
Jul 2009,210
Aug 2009,298
Sep 2009,263
Oct 2009,197
Nov 2009,172
Dec 2009,115
Jan 2010,136
Feb 2010,97
Mar 2010,163
Apr 2010,192
May 2010,235
Jun 2010,269
Jul 2010,282
Aug 2010,288
Sep 2010,326
Oct 2010,252
Nov 2010,188
Dec 2010,105
Jan 2011,125
Feb 2011,102
Mar 2011,141
Apr 2011,176
May 2011,246
Jun 2011,305
Jul 2011,296
Aug 2011,393
Sep 2011,411
Oct 2011,365
Nov 2011,259
Dec 2011,213
Jan 2012,196
Feb 2012,197
Mar 2012,223
Apr 2012,275
May 2012,313
Jun 2012,364
Jul 2012,430
Aug 2012,401
Sep 2012,471
Oct 2012,424
Nov 2012,352
Dec 2012,234
Jan 2013,325
Feb 2013,248
Mar 2013,267
Apr 2013,345
May 2013,418
Jun 2013,471
Jul 2013,529
Aug 2013,507
Sep 2013,569
Oct 2013,467
Nov 2013,336
Dec 2013,268
Jan 2014,168
Feb 2014,216
Mar 2014,352
Apr 2014,365
May 2014,482
Jun 2014,410
Jul 2014,352
Aug 2014,368
Sep 2014,325
Oct 2014,399
Nov 2014,283
Dec 2014,230
Jan 2015,254
Feb 2015,292
Mar 2015,343
Apr 2015,355
May 2015,438
Jun 2015,522
Jul 2015,558
Aug 2015,555
Sep 2015,543
Oct 2015,486
Nov 2015,12
