,year,season,thefts
0,2005,Fall,131
1,2005,Spring,52
2,2005,Summer,90
3,2005,Winter,49
4,2006,Fall,133
5,2006,Spring,112
6,2006,Summer,135
7,2006,Winter,82
8,2007,Fall,175
9,2007,Spring,126
10,2007,Summer,160
11,2007,Winter,149
12,2008,Fall,296
13,2008,Spring,216
14,2008,Summer,357
15,2008,Winter,187
16,2009,Fall,632
17,2009,Spring,303
18,2009,Summer,725
19,2009,Winter,244
20,2010,Fall,766
21,2010,Spring,590
22,2010,Summer,839
23,2010,Winter,338
24,2011,Fall,1035
25,2011,Spring,563
26,2011,Summer,994
27,2011,Winter,440
28,2012,Fall,1247
29,2012,Spring,811
30,2012,Summer,1195
31,2012,Winter,627
32,2013,Fall,1372
33,2013,Spring,1030
34,2013,Summer,1507
35,2013,Winter,841
36,2014,Fall,1007
37,2014,Spring,1199
38,2014,Summer,1130
39,2014,Winter,614
40,2015,Fall,1041
41,2015,Spring,1136
42,2015,Summer,1635
43,2015,Winter,546
